# C1_Time_[h],C1_mass_A_[g],C1_mass_B_[g],C2_Time_[h],C2_mass_A_[g],C2_mass_B_[g],C3_Time_[h],C3_mass_A_[g],C3_mass_B_[g],C4_Time_[h],C4_mass_A_[g],C4_mass_B_[g],C5_Time_[h],C5_mass_A_[g],C5_mass_B_[g]
1.41666666666667,0.415201294667978,0,1.41666666666667,0.334657697447403,0,1.41666666666667,0.369231917888792,0,1.41666666666667,0.386352860943181,0,1.41666666666667,0.337805682006992,0
1.5,0.420833017860227,0,1.5,0.343267276807691,0,1.5,0.376031348843126,0,1.5,0.394907659675763,0,1.5,0.352937885659343,0
1.58333333333333,0.436702597423083,0,1.58333333333333,0.363025732744892,0,1.58333333333333,0.39108957110637,0,1.58333333333333,0.416015965301198,0,1.58333333333333,0.363042912391948,0
1.66666666666667,0.448536977306112,0,1.66666666666667,0.380277240197593,0,1.66666666666667,0.402816180771854,0,1.66666666666667,0.428565579249896,0,1.66666666666667,0.381955768792122,0
1.75,0.476915740215657,0,1.75,0.39775790224128,0,1.75,0.421980021583648,0,1.75,0.441638802109018,0,1.75,0.412864729553301,0
1.83333333333333,0.505804447161049,0,1.83333333333333,0.424375325284968,0,1.83333333333333,0.449276797103397,0,1.83333333333333,0.468362894519159,0,1.83333333333333,0.431877482250441,0
1.91666666666667,0.516540701355942,0,1.91666666666667,0.443675699480056,0,1.91666666666667,0.469519184741895,0,1.91666666666667,0.493612131183564,0,1.91666666666667,0.448338515620541,0
2,0.537419730429045,0,2,0.461749603772055,0,2,0.485160715219516,0,2,0.513614661287109,0,2,0.459348876669464,0
2.08333333333333,0.551474972407962,0,2.08333333333333,0.469926379095904,0,2.08333333333333,0.501653914842958,0,2.08333333333333,0.526594105988591,0,2.08333333333333,0.473286437312848,0
2.16666666666667,0.575765932537233,0,2.16666666666667,0.483119054913405,0,2.16666666666667,0.509973969570833,0,2.16666666666667,0.537683769601157,0,2.16666666666667,0.488461578101268,0
2.25,0.596851519840579,0,2.25,0.508833000279443,0,2.25,0.529164857989094,0,2.25,0.560810810399725,0,2.25,0.505670842019001,0
2.33333333333333,0.622740749418162,0,2.33333333333333,0.519429339173322,0,2.33333333333333,0.544425583597128,0,2.33333333333333,0.582679647006213,0,2.33333333333333,0.519712755747404,0
