# Time in minutes, time in seconds, qty 5 for C1, C2, C3, C4, C5, and qty5 divided by 1.5(= length of box C) for C1, C2, C3, C4, C5
2460,147600,0.702505,0.598678,0.655206,0.717546,0.719338,0.468337,0.399119,0.436804,0.478364,0.479559
2520,151200,0.625408,0.594504,0.636512,0.696569,0.718332,0.416939,0.396336,0.424341,0.464379,0.478888
2580,154800,0.578747,0.566145,0.635297,0.676576,0.708918,0.385831,0.377430,0.423531,0.451051,0.472612
2640,158400,0.556140,0.530927,0.602904,0.684664,0.686636,0.370760,0.353952,0.401936,0.456442,0.457757
2700,162000,0.535872,0.510738,0.616781,0.682919,0.682667,0.357248,0.340492,0.411187,0.455279,0.455111
2760,165600,0.497793,0.511377,0.584542,0.674407,0.660040,0.331862,0.340918,0.389695,0.449605,0.440027
2820,169200,0.457435,0.493401,0.581200,0.655354,0.637002,0.304956,0.328934,0.387467,0.436902,0.424668
2880,172800,0.373330,0.495056,0.586464,0.606901,0.623700,0.248887,0.330038,0.390976,0.404601,0.415800
3240,194400,0.209123,0.487711,0.571501,0.568646,0.594798,0.139415,0.325141,0.381000,0.379097,0.396532
3600,216000,0.116791,0.375657,0.583658,0.528383,0.586172,0.077861,0.250438,0.389105,0.352255,0.390781
3960,237600,0.021103,0.187199,0.541485,0.498779,0.557869,0.014068,0.124799,0.360990,0.332519,0.371913
4320,259200,0.018060,0.122986,0.414256,0.256976,0.359291,0.012040,0.081991,0.276171,0.171317,0.239528
4680,280800,0.018354,0.093890,0.274906,0.166154,0.192266,0.012236,0.062594,0.183270,0.110769,0.128177
5040,302400,0.017558,0.094487,0.119468,0.132488,0.179113,0.011705,0.062992,0.079645,0.088325,0.119409
5400,324000,0.000000,0.070273,0.031911,0.129478,0.180347,0.000000,0.046849,0.021274,0.086319,0.120231
5760,345600,0.000000,0.000000,0.007930,0.074750,0.146521,0.000000,0.000000,0.005287,0.049833,0.097681
