# C1_time_[h],C1_mass_[g],C2_time_[h],C2_mass_[g],C3_time_[h],C3_mass_[g],C4_time_[h],C4_mass_[g],C5_time_[h],C5_mass_[g]
1.33333333333333,0.82502864581333,1.33333333333333,0.844589255700343,1.33333333333333,0.819366949118296,1.33333333333333,0.827743168455616,1.33333333333333,0.892553622370896
1.41666666666667,0.897657196014758,1.41666666666667,0.934067674117356,1.41666666666667,0.879990162156977,1.41666666666667,0.903189036006668,1.41666666666667,0.956799400667978
1.5,0.980964204745812,1.5,1.0127262230802,1.5,0.966759410608567,1.5,0.982949259440201,1.5,1.02761419449936
1.58333333333333,1.05030722896946,1.58333333333333,1.07897423972395,1.58333333333333,1.03942681887333,1.58333333333333,1.04628354614906,1.58333333333333,1.10299956754503
1.66666666666667,1.12573756391705,1.66666666666667,1.14100574988575,1.66666666666667,1.11064786279063,1.66666666666667,1.11972773281765,1.66666666666667,1.1691091568884
1.75,1.18024635716209,1.75,1.20527409967945,1.75,1.1801143567516,1.75,1.19485094362144,1.75,1.21966350824202
1.83333333333333,1.23332455274918,1.83333333333333,1.26211755680429,1.83333333333333,1.23609550552551,1.83333333333333,1.25073744210282,1.83333333333333,1.28635770375528
1.91666666666667,1.30928526887779,1.91666666666667,1.32734442206624,1.91666666666667,1.29930746358947,1.91666666666667,1.3088163982094,1.91666666666667,1.35231480599003
2,1.37161279642806,2,1.39039153935529,2,1.37294402912104,2,1.37028630670693,2,1.42052103868953
2.08333333333333,1.43839238337936,2.08333333333333,1.46862650755813,2.08333333333333,1.43377484313214,2.08333333333333,1.43831475681274,2.08333333333333,1.4843664245475
2.16666666666667,1.4927070520992,2.16666666666667,1.53179367099745,2.16666666666667,1.50633244019676,2.16666666666667,1.50654523756472,2.16666666666667,1.54757854309901
2.25,1.5499621962228,2.25,1.57616961126589,2.25,1.56527971455757,2.25,1.56180877958158,2.25,1.60598960985126
2.33333333333333,1.60419995370167,2.33333333333333,1.646865099476,2.33333333333333,1.63399841256911,2.33333333333333,1.61809531939286,2.33333333333333,1.66738661045514
2.41666666666667,1.6593102569,2.41666666666667,1.71112788091307,2.41666666666667,1.69250219102612,2.41666666666667,1.68806091968766,2.41666666666667,1.73604076088613
2.5,1.74742668805951,2.5,1.7655350071036,2.5,1.76110218725345,2.5,1.74862573718333,2.5,1.79234457741142
2.58333333333333,1.81034765429561,2.58333333333333,1.83929554598673,2.58333333333333,1.81995544205891,2.58333333333333,1.80522972415291,2.58333333333333,1.84812677058958
2.66666666666667,1.86016898921794,2.66666666666667,1.89830789016248,2.66666666666667,1.87755807138633,2.66666666666667,1.86499181283836,2.66666666666667,1.91266552510089
2.75,1.92007564473524,2.75,1.95678386710277,2.75,1.93572942825866,2.75,1.92007360313777,2.75,1.95700743404296
2.83333333333333,1.96732329327226,2.83333333333333,2.00763259778675,2.83333333333333,1.99068642674873,2.83333333333333,1.96837748974224,2.83333333333333,2.01690087237774
2.91666666666667,2.02435296821904,2.91666666666667,2.05166343549169,2.91666666666667,2.03839633273432,2.91666666666667,2.01950157986599,2.91666666666667,2.07751833202418
3,2.06568842485738,3,2.122029506707,3,2.11126367906128,3,2.09240280670476,3,2.12954491479711
3.08333333333333,2.12514846056345,3.08333333333333,2.16707661207726,3.08333333333333,2.1620169896647,3.08333333333333,2.13021870401566,3.08333333333333,2.16622618701551
3.16666666666667,2.17679434631406,3.16666666666667,2.21876342065953,3.16666666666667,2.20429795037791,3.16666666666667,2.18280763998979,3.16666666666667,2.2161339371018
3.25,2.20404441258882,3.25,2.26621928322677,3.25,2.24996521275522,3.25,2.22503752416557,3.25,2.26560722456554
3.33333333333333,2.25268006019983,3.33333333333333,2.30785318433191,3.33333333333333,2.30450982080239,3.33333333333333,2.27294181337829,3.33333333333333,2.32515260193806
3.41666666666667,2.30378041675882,3.41666666666667,2.35585208527965,3.41666666666667,2.35958220580006,3.41666666666667,2.32377916050556,3.41666666666667,2.37575340187254
